epoch,values
1513104300.0,23.59
1513105200.0,12.69
1513106100.0,13.0
1513107000.0,8.44
1513107900.0,8.71
1513108800.0,9.22
1513109700.0,9.07
1513110600.0,8.45
1513111500.0,8.83
1513112400.0,8.6
1513113300.0,8.45
1513114200.0,8.25
1513115100.0,8.1
1513116000.0,8.68
1513116900.0,8.44
1513117800.0,8.18
1513118700.0,8.63
1513119600.0,8.43
1513120500.0,8.43
1513121400.0,7.98
1513122300.0,8.48
1513123200.0,8.13
1513124100.0,8.7
1513125000.0,8.0
1513125900.0,8.82
1513126800.0,8.45
1513127700.0,8.23
1513128600.0,7.94
1513129500.0,8.08
1513130400.0,8.24
1513131300.0,8.95
1513132200.0,8.26
1513133100.0,8.42
1513134000.0,8.65
1513134900.0,8.16
1513135800.0,7.04
1513136700.0,8.2
1513137600.0,8.16
1513138500.0,8.49
1513139400.0,8.35
1513140300.0,8.95
1513141200.0,8.63
1513142100.0,7.96
1513143000.0,7.76
1513143900.0,9.11
1513144800.0,8.22
1513145700.0,8.73
1513146600.0,8.6
1513147500.0,8.68
1513148400.0,8.35
1513149300.0,8.45
1513150200.0,8.58
1513151100.0,8.06
1513152000.0,8.78
1513152900.0,8.26
1513153800.0,8.51
1513154700.0,8.36
1513155600.0,8.88
1513156500.0,8.45
1513157400.0,8.52
1513158300.0,8.43
1513159200.0,8.08
1513160100.0,8.29
1513161000.0,8.44
1513161900.0,8.57
1513162800.0,8.44
1513163700.0,7.8
1513164600.0,8.32
1513165500.0,8.57
1513166400.0,8.43
1513167300.0,8.71
1513168200.0,8.55
1513169100.0,8.64
1513170000.0,9.17
1513170900.0,36.88
1513171800.0,11.83
1513172700.0,9.22
1513173600.0,40.65
1513174500.0,25.41
1513175400.0,10.19
1513176300.0,39.49
1513177200.0,21.63
1513178100.0,48.98
1513179000.0,18.78
1513179900.0,29.78
1513180800.0,23.42
1513181700.0,37.39
1513182600.0,16.07
1513183500.0,38.94
1513184400.0,11.96
1513185300.0,45.21
1513186200.0,34.37
1513187100.0,18.47
1513188000.0,37.03
1513188900.0,39.39
1513189800.0,22.39
1513190700.0,12.55
1513191600.0,9.82
1513192500.0,34.98
1513193400.0,10.49
1513194300.0,9.04
1513195200.0,8.82
1513196100.0,8.36
1513197000.0,8.48
1513197900.0,8.69
1513198800.0,8.11
1513199700.0,8.85
1513200600.0,8.52
1513201500.0,8.0
1513202400.0,8.88
1513203300.0,8.4
1513204200.0,8.68
1513205100.0,8.51
1513206000.0,7.21
1513206900.0,8.35
1513207800.0,7.76
1513208700.0,7.86
1513209600.0,8.2
1513210500.0,8.5
1513211400.0,8.19
1513212300.0,8.4
1513213200.0,8.53
1513214100.0,8.01
1513215000.0,8.28
1513215900.0,8.38
1513216800.0,8.43
1513217700.0,8.36
1513218600.0,8.53
1513219500.0,8.44
1513220400.0,8.09
1513221300.0,8.21
1513222200.0,8.61
1513223100.0,8.2
1513224000.0,8.29
1513224900.0,8.49
1513225800.0,8.57
1513226700.0,7.94
1513227600.0,8.34
1513228500.0,8.32
1513229400.0,8.81
1513230300.0,8.4
1513231200.0,8.09
1513232100.0,8.25
1513233000.0,8.69
1513233900.0,7.75
1513234800.0,8.08
1513235700.0,8.41
1513236600.0,7.69
1513237500.0,8.21
1513238400.0,7.97
1513239300.0,8.15
1513240200.0,8.37
1513241100.0,7.45
1513242000.0,8.03
1513242900.0,8.54
1513243800.0,8.1
1513244700.0,8.58
1513245600.0,8.31
1513246500.0,7.68
1513247400.0,8.44
1513248300.0,8.22
1513249200.0,8.47
1513250100.0,8.21
1513251000.0,7.7
1513251900.0,8.41
1513252800.0,9.08
1513253700.0,9.8
1513254600.0,38.23
1513255500.0,43.33
1513256400.0,18.06
1513257300.0,50.47
1513258200.0,40.44
1513259100.0,22.22
1513260000.0,16.16
1513260900.0,14.32
1513261800.0,26.98
1513262700.0,35.59
1513263600.0,43.41
1513264500.0,31.98
1513265400.0,19.06
1513266300.0,11.99
1513267200.0,23.35
1513268100.0,41.0
